CUSTOMER,ITEM_NAME,ICODE,WK_REF,PLAN_QTY,VCHNUM,VCHDATE,ARCH_QTY,ISARCH,ENT_BY,ENT_DT,EDT_BY,EDT_DT,ACODE,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,507794 FP RCBO ENCLOSURE,90040164,202411,400,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,SFG 402509 EXP,90040221,202411,10,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16S062,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN4,90040207,202411,1050,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN6,90040208,202411,700,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN8,90040209,202411,900,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN12,90040210,202411,450,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN MCCB 4 160,90040225,202411,900,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN MCCB 6 160,90040227,202411,850,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN MCCB 8 160,90040228,202411,1500,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN MCCB 12 160,90040230,202411,1000,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,ENCLOSURE 2W SD IP30 - PREMIUM (DBENC002SD),90020039,202411,2600,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,ENCLOSURE 3W SD IP30 -PREMIUM,90020087,202411,360,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,ENCLOSURE 4W SD IP30 - PREMIUM,90020038,202411,3800,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,P&S 10A 2PIN 1 MOD SD IP30-METAL CLAD,90020216,202411,70,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,P&S 20A  2PIN  1MOD SD IP30 - METAL CLAD,90020217,202411,1500,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,P&S 20A  2PIN  2MOD SD IP30 - METAL CLAD,90020218,202411,1200,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,P&S 32A 3PIN 3MOD SD IP30 - METAL CLAD,90020220,202411,500,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,P&S 32A 3PIN  4MOD SD IP30 - METAL CLAD,90020221,202411,350,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16N008,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 63A 5PIN 4MOD SD IP30 - METAL CLAD,90020222,202411,250,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 16A 3PIN 2MOD SD IP30 - PLASTIC,90020223,202411,18,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 32A 3PIN 4MOD SD IP30 - PLASTIC,90020224,202411,110,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 32A 5PIN 8MOD SD IP30 - PLASTIC,90020225,202411,250,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 63A  5PIN  8MOD SD IP30 - PLASTIC,90020226,202411,50,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:10,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG- PHASE SELECTOR 4W DD IP43_DBPSR004DD,90020196,202411,87,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG- PHASE SELECTOR 6W DD IP43_DBPSR006DD,90020197,202411,250,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG- PHASE SELECTOR 8W DD IP43_DBPSR008DD,90020198,202411,275,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG- PHASE SELECTOR 10W DD IP43,90020199,202411,12,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG- PHASE SELECTOR 12W DD IP43_DBPSR012DD,90020239,202411,30,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_6 WAY SPN SD_DBSPN006SDS,90200319,202411,64,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_8 WAY SPN DD_DBSPN008DDS,90200320,202411,2882,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_12 WAY SPN DD_DBSPN012DDS,90200323,202411,3600,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_16 WAY SPN DD_DBSPN016DDS,90200326,202411,2000,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_18 WAY SPN DD_DBSPN018DDS,90200329,202411,500,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 4W DD IP43 250A MCCB I/C - PREMIUM (DBVTH004DD),90020063,202411,20,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 6W DD IP43 250A MCCB I/C - PREMIUM (DBVTH006DD),90020064,202411,40,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 8W DD IP43 250A MCCB I/C - PREMIUM (DBVTH008DD),90020065,202411,71,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 12W DD IP43 250A MCCB I/C - PREMIUM (DBVTH012DD),90020116,202411,70,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,VTPN 4W DD IP43 125A MCCB I/C - PREMIUM,90020066,202411,190,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16N015,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN MCCB 6W DD IP43 SURF/FLU - IND  (DBVTL006DD),90020067,202411,175,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN MCCB 8W DD IP43 SURF/FLU - IND (DBVTL008DD),90020069,202411,220,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 12W DD IP43 125A MCCB I/C - PREMIUM (DBVTL012DD),90020071,202411,130,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 16W DD IP43 125A MCCB I/C - PREMIUM,90020073,202411,20,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 4W DD IP43 - PREMIUM (DBVTM004DD),90020033,202411,275,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 6W MCB I/C IP43 (DBVTM006DD),90020031,202411,180,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 8W DD IP43 - PREMIUM (DBVTM008DD),90020079,202411,175,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:11,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 12W DD IP43 - PREMIUM (DBVTM012DD),90020082,202411,100,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 16W DD IP43 - PREMIUM (DBVTM016DD),90020085,202411,10,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,CEB - VTPN DD 125/250 MCCB INCOMER,90020248,202411,35,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,CEB-SPN 16 WAY DOUBLE DOOR.,90020742,202411,18,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,ONE MOD BLANKING PLATE,90020232,202411,5960,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,DP/TP COMB BUS BAR END CAP,90020397,202411,2467,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,507792 TP ENCLOSURE,90040163,202411,700,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,BUSBAR INTERIOR VTPN MCCB 4 250,90040226,202411,50,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,BUSBAR INTERIOR VTPN MCCB 8 250,90040229,202411,100,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,BUSBAR INTERIOR VTPN MCCB 12 250,90040231,202411,150,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16N008,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_4 WAY SPN SD_DBSPN004SDS,90200316,202411,43,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_12 WAY SPN DD GLAZED_DBSPN012GDS,90200324,202411,6,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,DP 12 MOD COMB BUS BAR,90020229,202411,1015,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,VTPN 16W DD IP43 250A MCCB I/C - PREMIUM (DBVTH016DD),90020107,202411,12,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,507817 20A TP P&S DB,90040166,202411,200,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16N015,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_16 WAY SPN SD_DBSPN016SDS,90200328,202411,14,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,ENCLOSURE 6W SD IP30 - PREMIUM,90020040,202411,230,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 20A 3PIN 3MOD SD IP30 - METAL CLAD,90020219,202411,200,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_8 WAY SPN SD_DBSPN008SDS,90200322,202411,100,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,FG_12 WAY SPN SD_DBSPN012SDS,90200325,202411,104,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:12,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,CEB- VTPN DOUBLE DOOR MODULAR INCOMER,90020178,202411,10,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:13,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,SP 13 MOD COMB BUS BAR,90020227,202411,3,000054,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:09:13,16S062,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 SPN 4WAY (R),90040023,202411,150,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:33,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 SPN 6WAY (R),90040024,202411,300,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:33,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 SPN 8WAY (R),90040025,202411,300,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:33,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 SPN 12WAY (R),90040026,202411,350,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:33,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 ETPN 4WAY (R),90040031,202411,300,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:33,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 ETPN 6WAY (R),90040032,202411,150,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:33,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 ETPN 8WAY (R),90040033,202411,100,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:33,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,IP42 ETPN 12WAY (R),90040034,202411,20,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,507810 10A SP P&S DB,90040165,202411,450,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507811 20A SP P&S DB,90040157,202411,6000,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507814 20A DP P&S DB,90040158,202411,2504,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507818 32A TP P&S DB,90040172,202411,500,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507820 20A DP RCBO P&S DB,90040159,202411,450,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507822 32A FP RCBO P&S DB,90040168,202411,234,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507860 EK P17 TEMPRA DB 16A 2P,90040160,202411,2000,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507861 EK P17 TEMPRA DB 32A 3P,90040169,202411,200,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507862 EK P17 TEMPRA DB 32A 3P,90040170,202411,2500,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,507863 EK P17 TEMPRA DB 32A 2P,90040161,202411,1500,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N008,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,507864 EK P17 TEMPRA DB 63A 3P,90040171,202411,700,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,507790 SP ENCLOSURE,90040162,202411,500,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,507791 DP ENCLOSURE,90040155,202411,7500,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,507793 FP ENCLOSURE,90040156,202411,11500,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,507794 FP RCBO ENCLOSURE,90040164,202411,800,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,SFG 402509 EXP,90040221,202411,100,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16S062,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,SUPPORT NEUTRAL AND EARTH,90040087,202411,10080,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN4,90040207,202411,1040,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN6,90040208,202411,800,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN8,90040209,202411,975,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN12,90040210,202411,425,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN MCCB 4 160,90040225,202411,1050,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:34,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN MCCB 6 160,90040227,202411,1000,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:35,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN MCCB 8 160,90040228,202411,1900,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:35,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,BUSBAR INTERIOR VTPN MCCB 12 160,90040230,202411,1000,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:35,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,ENCLOSURE 2W SD IP30 - PREMIUM (DBENC002SD),90020039,202411,3000,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:35,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,ENCLOSURE 3W SD IP30 -PREMIUM,90020087,202411,500,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:35,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,ENCLOSURE 4W SD IP30 - PREMIUM,90020038,202411,4000,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:35,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEMS PVT LTD,P&S 10A 2PIN 1 MOD SD IP30-METAL CLAD,90020216,202411,100,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:35,16N015,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,P&S 20A  2PIN  1MOD SD IP30 - METAL CLAD,90020217,202411,1500,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:35,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,P&S 20A  2PIN  2MOD SD IP30 - METAL CLAD,90020218,202411,1200,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:35,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,P&S 32A 3PIN 3MOD SD IP30 - METAL CLAD,90020220,202411,500,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:35,16N008,,
NOVATEUR ELECTRICAL AND  DIGITAL SYSTEAMS PVT.LTD.,P&S 32A 3PIN  4MOD SD IP30 - METAL CLAD,90020221,202411,350,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:35,16N008,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 63A 5PIN 4MOD SD IP30 - METAL CLAD,90020222,202411,250,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:35,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 16A 3PIN 2MOD SD IP30 - PLASTIC,90020223,202411,256,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:35,16S062,,
SCHNEIDER ELECTRIC INDIA PVT LTD-ESP NAGPUR STOCKING PLANT,P&S 32A 3PIN 4MOD SD IP30 - PLASTIC,90020224,202411,201,000055,01/03/2024,0,Y,KAKDE,01/03/2024,-,01/03/2024 16:19:35,16S062,,
